team,iso3,gdp_per_capita_usd,population,avg_temp_c,fifa_points,host,squad_value_eur
Algeria,DZA,5752.99,46814308,23.0,1521,false,230000000.0
Argentina,ARG,13969.78,45696159,14.8,1867,false,720000000.0
Australia,AUS,64603.99,27196812,21.7,1554,false,110000000.0
Austria,AUT,58268.88,9177982,7.1,1580,false,480000000.0
Belgium,BEL,56614.57,11858610,10.5,1740,false,640000000.0
Bosnia-Herzegovina,BIH,9358.79,3164253,10.0,1395,false,250000000.0
Brazil,BRA,10310.55,211998573,25.0,1776,false,1000000000.0
Canada,CAN,54340.35,41288599,-5.3,1558,true,180000000.0
Cape Verde Islands,CPV,5192.48,524877,23.3,1420,false,40000000.0
Colombia,COL,7919.21,52886363,24.5,1679,false,430000000.0
Congo DR,COD,649.38,109276265,24.0,1430,false,280000000.0
Croatia,HRV,24050.44,3866200,11.0,1698,false,420000000.0
Curaçao,CUW,22832.9,155967,27.9,1305,false,20000000.0
Czechia,CZE,31823.31,10905028,8.0,1491,false,320000000.0
Ecuador,ECU,6874.71,18135478,21.8,1589,false,380000000.0
Egypt,EGY,3338.47,116538258,22.1,1518,false,220000000.0
England,GBR,53246.37,69226000,9.8,1820,false,1500000000.0
France,FRA,46103.08,68551653,11.5,1862,false,1400000000.0
Germany,DEU,56103.73,83516593,9.5,1724,false,1000000000.0
Ghana,GHA,2390.77,34427414,27.2,1450,false,290000000.0
Haiti,HTI,2142.62,11772557,24.9,1289,false,30000000.0
Iran,IRN,5190.17,91567738,17.2,1637,false,90000000.0
Iraq,IRQ,6073.61,46042015,21.4,1413,false,50000000.0
Ivory Coast,CIV,2727.89,31934230,26.3,1487,false,360000000.0
Japan,JPN,32487.08,123975371,11.2,1652,false,360000000.0
Jordan,JOR,4618.1,11552876,18.3,1389,false,25000000.0
Mexico,MEX,14185.78,130861007,21.0,1660,true,220000000.0
Morocco,MAR,4153.19,38081173,17.5,1694,false,520000000.0
Netherlands,NLD,67520.42,17993485,10.0,1758,false,880000000.0
New Zealand,NZL,49205.18,5287500,10.5,1390,false,40000000.0
Norway,NOR,86785.43,5572279,1.5,1519,false,620000000.0
Panama,PAN,19161.22,4515577,25.5,1456,false,35000000.0
Paraguay,PRY,6416.1,6929153,23.6,1475,false,110000000.0
Portugal,PRT,29292.24,10694681,15.9,1778,false,1100000000.0
Qatar,QAT,76688.69,2857822,27.1,1410,false,35000000.0
Saudi Arabia,SAU,35121.66,35300280,25.0,1418,false,50000000.0
Scotland,GBR,53246.37,69226000,8.0,1480,false,290000000.0
Senegal,SEN,1773.22,18501984,27.8,1645,false,600000000.0
South Africa,ZAF,6267.19,64007187,17.8,1445,false,90000000.0
South Korea,KOR,36238.64,51751065,11.5,1574,false,200000000.0
Spain,ESP,35326.77,48848840,13.3,1880,false,1400000000.0
Sweden,SWE,57117.49,10569709,2.1,1536,false,360000000.0
Switzerland,CHE,103998.19,9005582,5.5,1635,false,400000000.0
Tunisia,TUN,4181.14,12277109,19.2,1482,false,130000000.0
Turkey,TUR,15892.72,85518661,11.1,1551,false,540000000.0
United States,USA,84534.04,340110988,8.6,1673,true,320000000.0
Uruguay,URY,23906.51,3386588,17.5,1679,false,380000000.0
Uzbekistan,UZB,3161.7,36361859,12.9,1437,false,60000000.0
