group,team
A,Mexico
A,South Korea
A,South Africa
A,Czechia
B,Canada
B,Switzerland
B,Bosnia-Herzegovina
B,Qatar
C,Brazil
C,Morocco
C,Scotland
C,Haiti
D,United States
D,Turkey
D,Paraguay
D,Australia
E,Germany
E,Ecuador
E,Ivory Coast
E,Curaçao
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Iran
G,Egypt
G,New Zealand
H,Spain
H,Uruguay
H,Saudi Arabia
H,Cape Verde Islands
I,France
I,Senegal
I,Norway
I,Iraq
J,Argentina
J,Austria
J,Algeria
J,Jordan
K,Portugal
K,Colombia
K,Uzbekistan
K,Congo DR
L,England
L,Croatia
L,Ghana
L,Panama
